Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
1	11.671	8.097	15.079	15.883	796.363	216000.000	166.354	0.441	1321.330	8.300
1	11.686	8.084	14.289	15.085	796.363	216000.000	165.930	0.400	1303.270	8.300
1	11.671	8.077	13.984	15.283	796.363	216000.000	166.280	0.395	1301.310	8.300
1	11.673	8.089	13.198	15.268	796.363	216000.000	167.456	0.394	1310.460	8.300
1	11.688	8.092	12.242	14.935	796.363	216000.000	163.803	0.440	1315.630	8.400
1	11.678	8.102	11.757	15.159	796.363	216000.000	0.000	0.000	1325.380	8.500
1	11.686	8.082	12.511	16.310	796.363	216000.000	0.000	0.000	1307.910	8.500
1	11.692	8.094	14.693	17.358	796.363	216000.000	171.333	0.376	1320.880	8.300
1	11.709	8.101	15.568	16.487	796.363	216000.000	169.791	0.400	1329.250	8.300
1	11.704	8.097	15.420	16.433	796.363	216000.000	163.784	0.494	1326.910	8.400
1	11.702	8.082	14.606	15.991	796.363	216000.000	173.990	0.340	1312.930	8.200
1	11.695	8.071	14.738	15.963	796.363	216000.000	172.706	0.339	1301.450	8.200
1	11.710	8.077	14.985	15.386	796.363	216000.000	172.725	0.344	1310.280	8.200
1	11.680	8.078	14.338	15.453	796.363	216000.000	176.092	0.324	1306.170	8.100
1	11.694	8.075	14.332	16.107	796.363	216000.000	173.103	0.336	1300.740	8.200
1	11.705	8.074	13.574	15.887	796.363	216000.000	173.915	0.326	1299.660	8.200
1	11.700	8.077	12.589	16.316	796.363	216000.000	170.968	0.342	1297.250	8.300
1	11.701	8.086	12.212	17.332	796.363	216000.000	177.869	0.310	1304.550	8.200
1	11.699	8.083	11.750	16.796	796.363	216000.000	173.174	0.332	1302.460	8.300
1	11.709	8.075	12.614	16.528	796.363	216000.000	171.778	0.334	1296.140	8.300
1	11.689	8.063	15.045	17.534	796.363	216000.000	176.406	0.307	1279.370	8.100
1	11.687	8.048	16.233	17.884	796.363	216000.000	177.090	0.293	1258.480	8.000
1	11.677	8.040	15.855	16.215	796.363	216000.000	174.117	0.300	1252.120	8.000
1	11.663	8.034	15.706	15.649	796.363	216000.000	174.693	0.288	1237.480	7.900
1	11.663	8.024	15.165	15.693	796.363	216000.000	173.752	0.282	1223.690	7.900
1	11.672	8.022	13.765	14.741	796.363	216000.000	170.327	0.290	1220.300	8.000
1	11.688	8.035	13.364	14.255	796.363	216000.000	171.583	0.290	1233.600	8.000
1	11.689	8.053	12.474	15.051	796.363	216000.000	174.673	0.285	1246.220	8.000
1	11.693	8.052	11.842	16.182	796.363	216000.000	177.011	0.275	1246.130	8.000
1	11.694	8.059	12.728	16.558	796.363	216000.000	176.815	0.279	1247.770	8.000
1	11.704	8.058	14.514	16.785	796.363	216000.000	178.617	0.274	1247.030	7.900
1	11.696	8.059	15.952	16.896	796.363	216000.000	174.363	0.298	1248.540	8.000
1	11.702	8.048	16.911	16.491	796.363	216000.000	175.087	0.288	1237.410	7.900
1	11.698	8.044	16.584	15.801	796.363	216000.000	176.331	0.277	1229.740	7.800
1	11.694	8.043	14.903	15.209	796.363	216000.000	174.050	0.282	1230.140	7.900
1	11.683	8.049	13.688	15.380	796.363	216000.000	180.679	0.256	1231.360	7.700
1	11.684	8.052	12.801	14.838	796.363	216000.000	178.335	0.265	1235.160	7.800
1	11.686	8.049	12.090	15.313	796.363	216000.000	180.804	0.250	1227.060	7.700
1	11.714	8.047	12.649	15.917	796.363	216000.000	181.010	0.247	1225.010	7.700
1	11.730	8.054	13.115	16.216	796.363	216000.000	179.859	0.255	1232.310	7.800
1	11.752	8.054	12.903	16.548	796.363	216000.000	178.368	0.260	1233.630	7.900
1	11.749	8.059	14.019	17.721	796.363	216000.000	181.768	0.253	1236.890	7.800
1	11.760	8.062	14.576	17.068	796.363	216000.000	181.190	0.257	1241.180	7.800
1	11.736	8.075	15.226	16.726	796.363	216000.000	181.553	0.267	1253.740	7.800
1	11.733	8.092	15.954	16.779	796.363	216000.000	186.654	0.254	1260.170	7.600
1	11.701	8.095	15.871	16.469	796.363	216000.000	182.536	0.270	1252.960	7.700
1	11.684	8.078	15.195	16.680	796.363	216000.000	181.945	0.265	1241.270	7.700
1	11.667	8.059	15.274	17.086	796.363	216000.000	180.167	0.263	1222.980	7.700
1	11.663	8.048	14.368	16.543	796.363	216000.000	178.438	0.258	1208.410	7.700
1	11.656	8.034	12.992	15.978	796.363	216000.000	180.427	0.237	1192.340	7.500
1	11.688	8.032	12.359	15.515	796.363	216000.000	177.972	0.240	1189.770	7.600
1	11.687	8.033	11.346	15.535	796.363	216000.000	180.815	0.229	1193.380	7.500
